word,count
"lift",1
"lifted",6
"lifting",3
"light",42
"lighten",2
"lightened",7
"lightly",15
"lightning",1
"lights",13
"like",154
"likelihood",4
"likeness",5
"likewise",3
"line",4
"lineage",4
"lines",3
"lingered",2
"lintel",1
"lips",6
"listen",1
"listened",4
"listening",1
"lists",2
"lit",4
"little",91
"live",14
"lived",5
"lively",1
"livery",1
"lives",3
"living",15
"lizard",1
"locked",3
"lodged",1
"lodging",1
"logs",1
"loneliness",8
"lonely",5
"long",78
"longed",5
"longer",14
"longing",7
"look",28
"looked",214
"looking",36
"looks",4
"loosed",5
"loosened",1
"lopped",1
"lord",21
"lord's",2
"lords",7
"lordship",2
"lose",3
"lost",14
"lot",2
"loth",1
"lotment",2
"lotting",1
"loud",3
"louder",6
"loudly",6
"love",42
"loved",26
"loveliness",3
"lovely",2
"lover",6
"lovers",12
"loving",2
"lovingly",3
"low",4
"lowest",2
"lozengy",1
"lugaidh",1
"lullaby",1
"lulled",1
"lulls",1
"lust",1
"lusty",1
"lute",5
"lutes",2
"lutestrings",1
"lying",9
"mad",1
"madam",1
"made",98
"madness",8
"magic",17
"magical",1
"maid",7
"maiden",3
"maidenhood",1
"maidens",15
"maids",1
"majnun",1
"make",31
"making",10
"malady",2
"malice",5
"man",133
"man's",11
"manch",1
"mane",1
"manifestly",1
"manlike",1
"manner",62
"many",69
"marble",1
"march",1
"marched",2
"marching",2
"margent",7
"margin",1
"mark",3
"marked",3
"market",1
"market-place",12
"marriage",5
"marrow",1
"marshalled",1
"marshals",2
"marvel",13
"marvelled",11
"marvelling",1
"marvellous",6
"marvellously",2
"marvels",1
"massy",1
"mast",2
"master",7
"mastery",6
"masts",1
"matched",4
"mate",1
"mated",1
"matter",16
"matters",5
"maurice",8
"may",52
"me",64
"meadow",7
"meadow-ground",1
"meadows",4
"meal",3
"mean",2
"meaning",10
"means",7
"meant",1
"measure",6
"measured",1
"meat",7
"meats",1
"mechaneme",1
